regio,jaar,met_schade,Q1,Q2,Q3,Q4,Q5,gemiddeld
EAF,2100,True,1625.531374265622,3556.881335580559,6117.917370559902,10522.958013410753,23025.64782541224,10443.83323375456
INDIA,2020,False,819.3445272616183,2052.5244691050257,3877.136554568457,7323.7557403276805,18346.60190263425,8089.8984
INDIA,2020,True,786.7110998886734,1970.7750877823823,3722.7152458775163,7032.060070072892,17615.8805994348,7767.68826359592
INDIA,2030,False,998.776406785155,2502.015874741728,4726.207825576648,8927.617380864016,22364.40534517635,9861.541007924516
INDIA,2030,True,935.5301549018749,2343.5788860875496,4426.926696628786,8362.28730923655,20948.20768164357,9237.071404610533
INDIA,2040,False,1217.502866693518,3049.9433900484687,5761.22096711349,10882.715771121446,27262.085322270897,12021.16346120946
INDIA,2040,True,1106.1166188332522,2770.9118085242867,5234.141479930481,9887.083720112814,24767.94631367784,10921.37771984569
INDIA,2050,False,1484.129200827019,3717.8639737689764,7022.896211268143,13265.969799385985,33232.329885269195,14653.731181059195
INDIA,2050,True,1299.622430182643,3255.6595544280394,6149.810566305662,11616.745967804078,29100.89047642067,12831.981014967583
INDIA,2060,False,1809.145214359415,4532.055438323918,8560.87129373819,16171.143161270486,40510.024693568164,17862.816541814344
INDIA,2060,True,1516.3875266265602,3798.673695238903,7175.542540114182,13554.312603770535,33954.65198763027,14972.237706201406
INDIA,2070,False,2205.3379212643463,5524.55029042375,10435.654337360153,19712.533278525105,49381.49405530943,21774.673689861735
INDIA,2070,True,1755.469253760252,4397.592805247317,8306.876762724325,15691.357660207146,39308.123114820104,17332.84037999032
INDIA,2080,False,2688.294620224075,6734.395977006967,12721.004406236112,24029.46807048306,60195.76570442646,26543.205725148106
INDIA,2080,True,2013.9915288358218,5045.212063991543,9530.203616710436,18002.173114623092,45096.90317737409,19885.391681563142
INDIA,2090,False,3277.016141355073,8209.191118006634,15506.833387930543,29291.78749336104,73378.30250100765,32356.01966772844
INDIA,2090,True,2286.2545200122486,5727.252930596254,10818.551509963916,20435.81070926398,51193.36265899016,22573.613624118574
INDIA,2100,False,3994.664390544585,10006.958165520611,18902.74337167573,35706.52550607933,89447.74129741566,39441.80742820159
INDIA,2100,True,2562.527672695908,6419.339576900218,12125.875478912169,22905.29335123361,57379.61689030005,25301.430386779204
INDO,2020,False,1487.6863225996399,3517.4892873283047,6383.679810763848,11585.356655714646,27392.446450098065,12177.5687
INDO,2020,True,1441.504522393076,3408.2969226285586,6185.513153502249,11225.715904658293,26542.110952681607,11799.54408811651
INDO,2030,False,1813.4813259514813,4287.799813644539,7781.670068354319,14122.485116965274,33391.23937267474,14844.38829440281
INDO,2030,True,1727.4131310248652,4084.299956829945,7412.350414099631,13452.22908261793,31806.484317278286,14139.870587489724
INDO,2040,False,2210.6236170995494,5226.804046887253,9485.812391564137,17215.230554039677,40703.73447199975,18095.22649911252
INDO,2040,True,2063.6545751835465,4879.31007409527,8855.166474186175,16070.709197568356,37997.62529471604,16892.2003117252
INDO,2050,False,2694.737853952978,6371.444967561579,11563.152374433806,20985.26998429762,49617.625194315944,22057.98013095943
INDO,2050,True,2457.3010195346105,5810.048718368184,10544.308076961486,19136.230729077604,45245.75212316971,20114.422998574395
INDO,2060,False,3284.870407317327,7766.755862761241,14095.418221983939,25580.92701294227,60483.60824526241,26888.554695994768
INDO,2060,True,2915.8320520160632,6894.2006462038125,12511.870223762431,22707.040965289147,53688.58483739944,23867.763379742573
INDO,2070,False,4004.2386969257277,9467.63205816752,17182.236160090844,31183.007287069784,73729.18095212379,32776.998136141454
INDO,2070,True,3446.913470157704,8149.890888585018,14790.74694351231,26842.837301469783,63467.272109099285,28214.970419605714
INDO,2080,False,4881.144627879541,11540.990649469688,20945.05000218289,38011.91188159392,89875.46017142264,39954.977832134995
INDO,2080,True,4058.0463919335457,9594.855107738274,17413.125623190106,31602.03469090997,74719.9304009251,33217.44508560412
INDO,2090,False,5950.0880645725465,14068.40320291522,25531.899079172123,46336.308476995415,109557.68444342527,48704.89502838679
INDO,2090,True,4756.037602829035,11245.187284405682,20408.214260758537,37037.640972916895,87571.89158161494,38930.904834177374
INDO,2100,False,7253.12414919134,17149.305002590027,31123.2425093801,56483.701476613176,133550.20600408182,59370.99526603389
INDO,2100,True,5546.226134414524,13113.511038276507,23798.922704568653,43191.233853757665,102121.46208456444,45399.05271129139
JAP,2020,False,7500.111603677805,15669.241853537664,26101.492175848784,43479.31445400977,90837.03414117388,41906.9559
JAP,2020,True,7433.410861152817,15529.890584961597,25869.363775481306,43092.63986677593,90029.19314544617,41534.26476909453
JAP,2030,False,9142.594194221176,19100.71838501072,31817.573315896487,53001.04170463531,110729.83774696421,51084.34540106638
JAP,2030,True,8992.109722280125,18786.32605184998,31293.865206669157,52128.659795976506,108907.25645247754,50243.51176251413
JAP,2040,False,11144.771307032079,23283.669129219346,38785.4443298519,64607.97409185987,134979.05434047425,62271.53199298476
JAP,2040,True,10851.282949097716,22670.512911728387,37764.06165141683,62906.57639572937,131424.4923021377,60631.6625719634
JAP,2050,False,13585.414035389782,28382.66274552257,47279.24021510677,78756.75990514303,164538.71405720722,75908.65002397343
JAP,2050,True,13062.148888430558,27289.456594135383,45458.20049450407,75723.3103953641,158201.2278262139,72984.90027245317
JAP,2060,False,16560.5439024586,34598.30751138509,57633.13000380688,96004.05086123617,200571.77430884851,92532.2208085585
JAP,2060,True,15682.715011685,32764.34637555222,54578.156273412584,90915.14013622192,189940.0161251158,87627.34224710404
JAP,2070,False,20187.21060917524,42175.143797641125,70254.46388147301,117028.40229673979,244495.8736909342,112796.2608353556
JAP,2070,True,18778.02496113261,39231.07150878526,65350.290435751696,108859.13373741889,227428.62835024748,104922.42056096863
JAP,2080,False,24608.097087843584,51411.26495180104,85639.79945123884,142656.96938062744,298039.1057409918,137498.01255457167
JAP,2080,True,22420.129040318265,46840.159571492404,78025.34864153559,129972.97802414818,271539.69630081824,125272.71707586301
JAP,2090,False,29997.133036770567,62670.0451011175,104394.43766053022,173898.04964834783,363308.0068384965,167609.31006439196
JAP,2090,True,26687.632215903683,55755.83215111079,92876.88774307795,154712.35822400774,323225.23808237404,149117.43790570664
JAP,2100,False,36566.33778766371,76394.435279082,127256.23698667689,211980.75216930723,442870.4330755443,204314.8137076649
JAP,2100,True,31664.620207227385,66153.76122992106,110197.53841861284,183564.7323410116,383503.65152176755,176926.4129301524
KOR,2020,False,11096.132229489149,20860.529375840983,32300.061111907435,50012.82225566219,94023.20793008311,45724.0734
KOR,2020,True,10920.184189565807,20529.750219687085,31787.888732874253,49219.78393700083,92532.31012889816,44999.04048531822
KOR,2030,False,13526.123271271259,25428.868907286876,39373.59426090482,60965.35125784183,114613.76581677813,55737.390334030715
KOR,2030,True,13189.256375870602,24795.565191909533,38392.998402547724,59447.014614491876,111759.3201868998,54349.25559187301
KOR,2040,False,16488.2687918409,30997.649304760882,47996.19169918058,74316.42299632955,139713.54098523842,67943.56780225316
KOR,2040,True,15900.54290498053,29892.735189263058,46285.36294642032,71667.40713146073,134733.4387186751,65521.71295823237
KOR,2050,False,20099.107652627754,37785.961535457885,58507.089862299814,90591.30494649579,170310.02685871444,82822.83002548206
KOR,2050,True,19132.797860640312,35969.31647526786,55694.22996763489,86235.92427230578,162121.98938603073,78840.93625005013
KOR,2060,False,24500.700075427158,46060.8762658597,71319.81607227531,110430.29522982182,207606.97240993017,100960.56764923688
KOR,2060,True,22976.722842272982,43195.82642841835,66883.62544783269,103561.37902487096,194693.53326644542,94680.68152067382
KOR,2070,False,29866.216677910837,56147.95114815193,86938.45782715602,134613.91368352648,253071.74091971043,123070.36860392298
KOR,2070,True,27536.12991156331,51767.42986088094,80155.73900292866,124111.67624840404,233327.72309472505,113468.72939042309
KOR,2080,False,36406.751476727666,68444.03914373543,105977.49497425272,164093.60963387467,308493.0400394859,150022.0925948801
KOR,2080,True,32928.97674574214,61905.885088083814,95853.93714157434,148418.47834769855,279024.07464662346,135691.1506252413
KOR,2090,False,44379.62690026692,83432.90179811623,129185.97501863651,200029.1945004912,376051.2944153526,182876.09374909563
KOR,2090,True,39288.14820044616,73861.01325286145,114365.0383397162,177080.72795681618,332908.5893209959,161895.52673976944
KOR,2100,False,54098.517552874604,101704.24173587424,157476.98268930003,243834.47193214475,458404.4295241204,222924.9378305857
KOR,2100,True,46761.80643879587,87911.35656183514,136120.3322417356,210766.2260514399,396236.7209626901,192692.39278185245
ME,2020,False,1400.3489267818516,3373.3735210069613,6201.795737251842,11401.722971701636,27466.20476582607,12170.4791
ME,2020,True,1385.366873683998,3337.282472380412,6135.443965018132,11279.738217971997,27172.349334277453,12040.269578204921
ME,2030,False,1707.0175277927242,4112.123498665553,7559.954397657268,13898.63668083034,33481.150347975396,14835.746111562818
ME,2030,True,1681.1899098395488,4049.9060035487105,7445.570326757541,13688.346702890485,32974.571859037154,14611.277424873224
