regio,jaar,type,met_schade,waarde
EAF,2020,Q4,True,3197.3947810630016
EAF,2020,Q5,True,6996.329938192445
EAF,2030,Q1,True,587.6155470058907
EAF,2030,Q2,True,1285.7818709198789
EAF,2030,Q3,True,2211.5742698983763
EAF,2030,Q4,True,3803.9584021956657
EAF,2030,Q5,True,8323.572744455492
EAF,2040,Q1,True,695.1862584879677
EAF,2040,Q2,True,1521.1610595243305
EAF,2040,Q3,True,2616.4318658565016
EAF,2040,Q4,True,4500.322740847704
EAF,2040,Q5,True,9847.311601870248
EAF,2050,Q1,True,817.4490142166733
EAF,2050,Q2,True,1788.6884175149098
EAF,2050,Q3,True,3076.58504953965
EAF,2050,Q4,True,5291.79675697877
EAF,2050,Q5,True,11579.163229062253
EAF,2060,Q1,True,954.7509573889748
EAF,2060,Q2,True,2089.1235409090277
EAF,2060,Q3,True,3593.3403434969546
EAF,2060,Q4,True,6180.62769930037
EAF,2060,Q5,True,13524.044908542885
EAF,2070,Q1,True,1106.6832489860722
EAF,2070,Q2,True,2421.5718349309386
EAF,2070,Q3,True,4165.159024222686
EAF,2070,Q4,True,7164.1689281368945
EAF,2070,Q5,True,15676.16543663978
EAF,2080,Q1,True,1271.6887601423446
EAF,2080,Q2,True,2782.626092136417
EAF,2080,Q3,True,4786.180616867822
EAF,2080,Q4,True,8232.340292508914
EAF,2080,Q5,True,18013.468086890327
EAF,2090,Q1,True,1446.5244383398388
EAF,2090,Q2,True,3165.190077316453
EAF,2090,Q3,True,5444.199434327625
EAF,2090,Q4,True,9364.147731014738
EAF,2090,Q5,True,20490.015028539692
EAF,2100,Q1,True,1625.531374265622
EAF,2100,Q2,True,3556.881335580559
EAF,2100,Q3,True,6117.917370559902
EAF,2100,Q4,True,10522.958013410753
EAF,2100,Q5,True,23025.64782541224
INDIA,2020,gemiddeld,False,8089.8984
INDIA,2020,gemiddeld,True,7767.68826359592
INDIA,2030,gemiddeld,False,9861.541007924516
INDIA,2030,gemiddeld,True,9237.071404610533
INDIA,2040,gemiddeld,False,12021.16346120946
INDIA,2040,gemiddeld,True,10921.37771984569
INDIA,2050,gemiddeld,False,14653.731181059195
INDIA,2050,gemiddeld,True,12831.981014967583
INDIA,2060,gemiddeld,False,17862.816541814344
INDIA,2060,gemiddeld,True,14972.237706201406
INDIA,2070,gemiddeld,False,21774.673689861735
INDIA,2070,gemiddeld,True,17332.84037999032
INDIA,2080,gemiddeld,False,26543.205725148106
INDIA,2080,gemiddeld,True,19885.391681563142
INDIA,2090,gemiddeld,False,32356.01966772844
INDIA,2090,gemiddeld,True,22573.613624118574
INDIA,2100,gemiddeld,False,39441.80742820159
INDIA,2100,gemiddeld,True,25301.430386779204
INDIA,2020,Q1,False,819.3445272616183
INDIA,2020,Q2,False,2052.5244691050257
INDIA,2020,Q3,False,3877.136554568457
INDIA,2020,Q4,False,7323.7557403276805
INDIA,2020,Q5,False,18346.60190263425
INDIA,2030,Q1,False,998.776406785155
INDIA,2030,Q2,False,2502.015874741728
INDIA,2030,Q3,False,4726.207825576648
INDIA,2030,Q4,False,8927.617380864016
INDIA,2030,Q5,False,22364.40534517635
INDIA,2040,Q1,False,1217.502866693518
INDIA,2040,Q2,False,3049.9433900484687
INDIA,2040,Q3,False,5761.22096711349
INDIA,2040,Q4,False,10882.715771121446
INDIA,2040,Q5,False,27262.085322270897
INDIA,2050,Q1,False,1484.129200827019
INDIA,2050,Q2,False,3717.8639737689764
INDIA,2050,Q3,False,7022.896211268143
INDIA,2050,Q4,False,13265.969799385985
INDIA,2050,Q5,False,33232.329885269195
INDIA,2060,Q1,False,1809.145214359415
INDIA,2060,Q2,False,4532.055438323918
INDIA,2060,Q3,False,8560.87129373819
INDIA,2060,Q4,False,16171.143161270486
INDIA,2060,Q5,False,40510.024693568164
INDIA,2070,Q1,False,2205.3379212643463
INDIA,2070,Q2,False,5524.55029042375
INDIA,2070,Q3,False,10435.654337360153
INDIA,2070,Q4,False,19712.533278525105
INDIA,2070,Q5,False,49381.49405530943
INDIA,2080,Q1,False,2688.294620224075
INDIA,2080,Q2,False,6734.395977006967
INDIA,2080,Q3,False,12721.004406236112
INDIA,2080,Q4,False,24029.46807048306
INDIA,2080,Q5,False,60195.76570442646
INDIA,2090,Q1,False,3277.016141355073
INDIA,2090,Q2,False,8209.191118006634
INDIA,2090,Q3,False,15506.833387930543
INDIA,2090,Q4,False,29291.78749336104
INDIA,2090,Q5,False,73378.30250100765
INDIA,2100,Q1,False,3994.664390544585
INDIA,2100,Q2,False,10006.958165520611
INDIA,2100,Q3,False,18902.74337167573
