Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP5-Ref-SPA0-V17,RSAF,GDP|PPP,billion US$2005/yr,266.1046142578125,466.581787109375,901.0479125976562,1875.2979736328125,3729.885009765625,6819.31005859375,11289.2802734375,17007.369140625,23776.44921875,31201.369140625
IMAGE,SSP1-Ref-SPA0-V17,RSAM,GDP|PPP,billion US$2005/yr,1996.1729736328125,2962.4580078125,4373.42578125,6259.39892578125,8291.90234375,10273.4404296875,12072.509765625,13526.5703125,14626.1298828125,15267.1201171875
IMAGE,SSP2-Ref-SPA0-V17,RSAM,GDP|PPP,billion US$2005/yr,1996.1729736328125,2988.865966796875,4211.18896484375,5618.375,7220.02099609375,9011.4609375,10957.009765625,12993.91015625,15101.4599609375,17236.189453125
IMAGE,SSP3-Ref-SPA0-V17,RSAM,GDP|PPP,billion US$2005/yr,1996.1729736328125,3029.14697265625,4108.708984375,5136.4248046875,6223.31103515625,7365.2470703125,8579.5283203125,9875.6494140625,11240.2998046875,12722.1103515625
IMAGE,SSP4-Ref-SPA0-V17,RSAM,GDP|PPP,billion US$2005/yr,1996.1729736328125,3031.929931640625,4186.7109375,5450.80078125,6734.7431640625,8062.884765625,9376.25390625,10620.7099609375,11832.08984375,13036.599609375
IMAGE,SSP5-Ref-SPA0-V17,RSAM,GDP|PPP,billion US$2005/yr,1996.1729736328125,3024.51806640625,4716.97802734375,7320.01220703125,10300.1796875,13452.1201171875,16620.359375,19590.23046875,22365.9296875,24757.0
IMAGE,SSP1-Ref-SPA0-V17,RSAS,GDP|PPP,billion US$2005/yr,820.6414794921875,1329.802001953125,2422.537109375,4445.8828125,7432.1748046875,11203.7197265625,15451.3896484375,19735.26953125,23729.169921875,27240.1796875
IMAGE,SSP2-Ref-SPA0-V17,RSAS,GDP|PPP,billion US$2005/yr,820.6414794921875,1345.0040283203125,2246.162109375,3561.449951171875,5460.05810546875,8078.19677734375,11572.23046875,15973.2802734375,21209.8203125,27293.5703125
IMAGE,SSP3-Ref-SPA0-V17,RSAS,GDP|PPP,billion US$2005/yr,820.6414794921875,1361.4219970703125,2123.64599609375,2944.60302734375,3909.031982421875,5057.490234375,6487.68017578125,8232.958984375,10261.169921875,12651.169921875
IMAGE,SSP4-Ref-SPA0-V17,RSAS,GDP|PPP,billion US$2005/yr,820.6414794921875,1345.593994140625,2053.08203125,2725.162109375,3402.507080078125,4102.27294921875,4864.9560546875,5691.9580078125,6587.59912109375,7611.591796875
IMAGE,SSP5-Ref-SPA0-V17,RSAS,GDP|PPP,billion US$2005/yr,820.6414794921875,1333.0250244140625,2601.552001953125,5250.80810546875,9339.9482421875,14744.1201171875,21196.939453125,28256.419921875,35613.9609375,43086.08984375
