Year,BRA,CAN,CEU,CHN,EAF,INDIA,INDO,JAP,KOR,ME,MEX,NAF,OCE,RCAM,RSAF,RSAM,RSAS,RUS,SAF,SEAS,STAN,TUR,UKR,USA,WAF,WEU
1893,0.001969636,0.014853856,0.090833079,0,0,0.005543189,0.00040304,0.00857376,0,0,0.001420225,0,0.007315646,0.001024194,0,0.004756069,0,0.023380171,0.001799024,0.000674176,0.00406817,0.000425024,0.008599235,0.45409485,0,0.732781676
1894,0.002308266,0.01417968,0.093086733,0,0,0.005616704,0.000479984,0.011024976,0,0,0.001556654,0,0.008130214,0.001127753,0,0.006093216,0,0.023812495,0.002432896,0.000351744,0.004143395,0.000392048,0.008758242,0.42505037,0,0.802987588
1895,0.002188105,0.013531152,0.098046665,0,0,0.007034702,0.00076944,0.012226768,0,0,0.001506848,0,0.008373957,0.001074594,0,0.00636016,0,0.027361251,0.003337904,0.000289456,0.004760881,0.000373728,0.010063476,0.4799481,0,0.817991664
1896,0.002615588,0.014648672,0.103391653,3.66E-06,0,0.007608026,0.00086104,0.0129156,0,0,0.001647261,0,0.008936921,0.000889775,0,0.006601456,0,0.027853682,0.004257568,0.000487312,0.004846565,0.000443344,0.010244593,0.48088246,0,0.855525662
1897,0.002734326,0.014798896,0.108481386,5.13E-05,0,0.008253373,0.001106528,0.013542144,0,0,0.002310492,0,0.009782685,0.000836866,0,0.005827375,0,0.032204665,0.004777856,0.000615552,0.005603639,0.000315104,0.011844886,0.50028714,0,0.894118564
1898,0.002681303,0.015707568,0.116051153,0.000113584,0,0.009125185,0.001289728,0.017246448,0,0,0.002617837,0,0.010536444,0.000902922,0,0.006505554,0,0.036118696,0.006049264,0.000784096,0.006284684,0.000523952,0.01328447,0.5453215,0,0.914816498
1899,0.002612972,0.019170048,0.11923492,8.06E-05,0,0.010054478,0.001124848,0.017272096,0,0,0.003259902,0,0.010873019,0.001006913,0,0.007016458,0,0.041900746,0.005517984,0.000853712,0.007290765,0.000670512,0.015411107,0.625534,0,0.974250288
1900,0.002272218,0.02062832,0.121753472,0.00010992,0,0.011929561,0.00120912,0.019411872,0,0,0.00350423,0,0.012607824,0.001010409,0,0.006660369,0,0.047465472,0.002330304,0.000571584,0.008259031,0.001036912,0.017457815,0.6627384,0,1.020533932
1901,0.002314927,0.023845312,0.127915797,0.000175872,0,0.013179677,0.002242368,0.023273728,0,0,0.004199414,0,0.01417968,0.001088612,0,0.0073291,0,0.048730074,0.003909488,0.0005496,0.008479074,0.000948976,0.017922938,0.72152755,0,1.002151616
1902,0.0025545,0.025648,0.126199007,0.00025648,0,0.014515422,0.00153888,0.024944512,0,0,0.004570518,0,0.01443616,0.001060833,0,0.007735148,0,0.047065514,0.00582576,0.000450672,0.008189438,0.001047904,0.017310711,0.76449574,0,1.00695517
1903,0.002442213,0.027959984,0.130687197,0.000216176,0,0.014802121,0.003000816,0.025787232,0,0,0.005383771,0,0.014393768,0.001302682,0.000113584,0.008050631,0,0.046039035,0.007782336,0.000608224,0.008010832,0.001205456,0.016933171,0.8944069,0,1.052920028
1904,0.002639233,0.033096912,0.132841246,0.00021984,0,0.016561007,0.003367216,0.029051856,0,0,0.005777833,0,0.014977158,0.001438333,0.000142896,0.008290292,0,0.051222291,0.008767952,0.000835392,0.008912722,0.001366672,0.018839577,0.88205754,0,1.06710334
1905,0.002871745,0.03538691,0.140302547,0.000252816,0,0.01693072,0.004132992,0.029931216,1.47E-05,0,0.006156636,0,0.015591857,0.001739286,0.000234496,0.009894756,0,0.045722301,0.010028368,0.000831728,0.007955719,0.001531552,0.016816677,0.9864824,0,1.104252651
1906,0.003248124,0.037387456,0.148427608,0.0002748,0,0.019549416,0.00445176,0.032855088,0,3.66E-06,0.006455764,0,0.018219918,0.002037011,0.000252816,0.012260897,0,0.052151677,0.011464656,0.000872032,0.009074435,0.001579184,0.019181403,1.03547117,0,1.12926677
1907,0.003722012,0.0469908,0.161022903,0.020252944,0,0.0217724,0.00529448,0.03507181,0,0,0.007151416,0,0.019572345,0.002094262,0.000278464,0.013988116,0,0.05841459,0.012651792,0.000945312,0.010164188,0.001879632,0.021484906,1.2038615,0,1.25371088
1908,0.003729627,0.047408496,0.168509225,0.023146222,0,0.024908242,0.005492336,0.037632944,0,0,0.007118767,0,0.020943384,0.002074446,0.000395712,0.014979978,0,0.058772937,0.0130072,0.001029584,0.010226541,0.00172208,0.021616706,1.05281286,0,1.270159351
1909,0.003825869,0.04538597,0.17242021,0.024738888,0,0.02414265,0.005986976,0.038255824,0.000157552,0,0.007186217,0,0.018845025,0.002170671,0.000410368,0.014615235,0,0.062041951,0.014974768,0.001242096,0.010795352,0.001956576,0.02281905,1.1657062,0,1.263489866
1910,0.00458479,0.051622096,0.170598943,0.02562499,0,0.023487316,0.006111552,0.039384336,0.000197856,0,0.007363978,0,0.022609452,0.002666817,0.000432352,0.016087876,0,0.060844394,0.016978976,0.001608496,0.010586975,0.001883296,0.022378586,1.2715821,0,1.286690754
